"","date","company","country","city","role","current_or_former","employment_status","employment_length","recommend","outlook","approve_ceo","score_overall","score_career_opp","score_comp_and_benefits","score_culture_and_values","score_senior_mgmt","score_work_life_balance","pros","cons","advice_to_management"
"1",2019-04-04,"Euromonitor","US","Chicago, IL "," Business Development Associate","Current  ","Full-time","Less than a year","Yes","Positive","Yes",4,4,4,5,4,5,"- Great experience speaking with high-level clients
- A lot of room for growth
- A lot of autonomy","- Yearly goals can be stressful staring out
- Long sales process means you will be stressed at the beginning",NA
"2",2019-03-18,"Euromonitor","UK","London, England "," Sales Manager","Current  ","Full-time","Less than a year","Yes","Positive","Yes",5,5,5,5,4,5,"Good training for all levels, self empowerment, supportive patient management, good benefits","experienced none to this point",NA
"3",2019-03-21,"Euromonitor",NA,NA," Anonymous ","Current  ","Full-time","More than 5 years","Yes","Positive","Neutral",5,5,4,5,4,5,"work life balance. interesting and smart coworkers.get to work with the best & biggest companies in the world.","not many. company is still growing and thus has been making lots of changes. this can be frustrating but with a little patience things will only keep getting better than they are and there are lots of opportunities in chicago and around the world","dont stop trying to improve"
"4",2019-03-22,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Great people and challenging environment. Always learning something new","Huge turnaround of employees.",NA
"5",2019-03-02,"Euromonitor","UK","London, England "," Business Developer","Former  ","Full-time","More than a year","Yes","Negative","Yes",3,3,3,5,5,5,"one of the best atmosphere to work.
peuple are great there","Salary too low vs market VS commission plan","More confidence in the people you decided to hire (in less than a year, out of 7 people 4 left in my team)."
"6",2019-03-02,"Euromonitor","US","Chicago, IL "," Research Analyst","Former  ","Full-time","More than a year","Yes","Neutral","Neutral",4,3,3,3,4,5,"Great office environment in Chicago. Good skills building for future career in consulting. Hours not demanding.","Pay not great for mid and senior level jobs and limited promotions.","Create more incentives for research staff to grow, execute on timelines."
"7",2019-03-31,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Negative","No",1,1,1,1,1,2,"- Very impressed to see various locations sharing the same disappointment and disgust with the company! This really shows the toxic culture permeates globally.

- As long as you remain as a “yes man” to the management, you’re fine. No other skill needed whatsoever.","The same comments have already been posted but it’s not useless to cast another vote.
- Incompetent and unqualified management. They are in their position only because they joined the company ages ago and have nowhere else to go. They have no real work other than writing long e-mails, staring at others’ schedule, and scheduling meeting so that they could feel like they have something to do. Some of them do not …  even know how to do the simple task we are all doing.
- Questionable products. The methodology is outdated and the company has no intention to make its products better. The management even says to you that you do not have to work hard to create a good product. Instead, they want you to chat with them and spend more time with them so that they feel like they are doing something in the office.
- Power harassment. The management tries its best to crush you once you notice they are the least competent ones in the office and stop being their cheerleader. Because the HR function is nonexistent in practice, there is nowhere for employees to turn to.
- Lack of investment in business tools. Some services are worth paying money for. We should not rely everything on free web services.
- Lack of self-awareness. The company is very inward-looking. The management keeps telling everyone how great the company is, despite the negative feedback we receive from client every day. The so-called trainings are also all done by your colleagues who joined a couple of years before you. The company doesn’t believe in learning from external parties or even from competitors.
- Office environment. The office is clumped. Hot desking is mandatory and it makes it very difficult to find a seat every day because you are only allowed to work from home on certain conditions. We waste time adjusting everything from a seat to a display every day, then the same amount of time packing everything up. There’s no space to do any critical thinking, and this is a research company!
- High turnover rate. But actually it’s a good because it’s always talented people who leave. They shouldn’t waste time here. Hot desking is perfect in not noticing high turnover because you don’t really notice how many people are leaving the place every month.
- Inflexible hours. You have to be in the office 9 hrs every day.
- Lack of leave days
- No 401k or any other retirement plan (everyone usually leaves in 1-2 years so not needed?)Show More","- Remove the management. Hire competent and trained managers from outside.
- Learn from top market research companies.
- Stop sending those with zero local knowledge or language skill to manage a local team. Local offices are not dumpster."
"8",2019-03-22,"Euromonitor",NA,NA," Anonymous ","Former  ","Part-time","More than a year","No",NA,NA,1,1,1,1,1,1,"Nothing to be added to pros","low salary, unprofessional bunch of people not allowing professional work for employees",NA
"9",2019-03-05,"Euromonitor","US","Chicago, IL "," Client Consultant","Former  ","Full-time","Less than a year","No","Negative","No",1,1,1,1,1,1,"Free fruit....clean bathrooms...oxygen available for your breathing pleasure.","Dear Lord! Help them!! There’s no hope.","Some day you may need your soul....good luck with that!"
"10",2019-01-23,"Euromonitor",NA,NA," Anonymous ","Current  ","Full-time","More than a year","Yes","Positive","Yes",5,5,5,5,4,5,"A clear vision and identity.
Provides “flexible” growth for employees.
A culture of collaboration.
Open communication.
Craves honest feedback from its employees.
A fun atmosphere.
Filled with passionate people.
A great environment. A fun, open, energetic and creative environment make a big difference in the overall atmosphere of a company.","More the better, so I look forward for more fun, career growth and fulfilling career ahead.",NA
